Non-working days,Working_days non-working_hours,Working_days working_hours,activity_logon,url,http_num,activity_device,device_num
0,0,1,1,0,0,0,0
2,2,2,2,2,0,2,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
2,2,2,2,2,0,2,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
2,2,2,2,2,0,2,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
1,1,1,1,0,0,1,0
0,0,0,0,0,0,0,0
5,5,5,5,5,0,5,0
